Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Karl's Farm Metropolitan District No. 3,karlsfarmmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67188,Metropolitan Districts,Adams
Karval Community Cemetery District,,PO Box 31,,Karval,CO,80823,37015,Cemetery Districts,Lincoln
Karval Fire Protection District,,P.O. Box 21,,Karval,CO,80823,65366,Fire Protection Districts,Lincoln
Karval RE-23 School District,www.karvalschool.org/,P O Box 5,,Karval,CO,80823,37902,School Districts,Lincoln
Karval Water Authority,,P. O. Box 64,,Karval,CO,80823,67937,Water Authorities,"Crowley, Lincoln"
Keefe Memorial Health Service District,www.keefememorial.com,602 N 6th Street W.,,Cheyenne Wells,CO,80810,66539,Health Service Districts (Hospital),Cheyenne
Keenesburg Housing Authority,,,Box 367,Keenesburg,CO,80643,62070,Housing Authorities (Municipal),Weld
Keenesburg Parkway Metropolitan District No. 1,pioneermetropolitandistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1214,65647,Metropolitan Districts,Weld
Keenesburg Parkway Metropolitan District No. 2,pioneermetropolitandistricts.specialdistrict.net,"450 East 17th Avenue, Suite 400","c/o McGeady Becher, P.C.",Denver,CO,80203-1214,65649,Metropolitan Districts,Weld
Keenesburg RE-3J School District,www.re3j.com/,PO Box 269,95 West Broadway,Keenesburg,CO,80643,64951,School Districts,"Weld, Adams"
"Keenesburg, Town of",townofkeenesburg.com,PO Box 312,91 W Broadway Ave,Keenesburg,CO,80643,62033,Statutory Towns,Weld
Ken-Caryl Ranch Metropolitan District,www.ken-carylranch.org,7676 South Continental Divide Road,,Littleton,CO,80127,30116,Metropolitan Districts,Jefferson
Ken-Caryl Ranch Water & Sanitation District,www.ken-carylwater.org,10698 W. Centennial Road,,Littleton,CO,80127-4221,30049,Water & Sanitation Districts,Jefferson
Ken-Caryl West Ranch Water District,,1 West Ranch Trail,,Morrison,CO,80465,30051,Water Districts,Jefferson
Kent Place Metropolitan District No. 1,kentplacemd1-2.colorado.gov/,"2154 E. Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65968,Metropolitan Districts,Arapahoe
Kent Place Metropolitan District No. 2,kentplacemd1-2.colorado.gov/,"2154 E. Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65969,Metropolitan Districts,Arapahoe
Kersey Housing Authority,,PO Box 117,109 1st Street,Kersey,CO,80644,62071,Housing Authorities (Municipal),Weld
"Kersey, Town of",www.kerseygov.com,PO Box 657,,Kersey,CO,80644,62035,Statutory Towns,Weld
"Keystone, Town of",keystoneco.gov,1628 St. John Road,,Keystone,CO,80435,67925,Home Rule Municipalities,Summit
Kim Reorganized 88 School District,www.kimk12.org/,P O Box 100,,Kim,CO,81049-0100,36905,School Districts,Las Animas
"Kim, Town of",,PO Box 70,,Kim,CO,81049,36005,Statutory Towns,Las Animas
Kime Ranch Metropolitan District,kimeranch.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,67938,Metropolitan Districts,Douglas
King Ranch Metropolitan District No. 1,kingranchmetropolitandistricts.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67452,Metropolitan Districts,Adams
King Ranch Metropolitan District No. 2,kingranchmetropolitandistricts.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67453,Metropolitan Districts,Adams
King Ranch Metropolitan District No. 3,kingranchmetropolitandistricts.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67454,Metropolitan Districts,Adams
King Ranch Metropolitan District No. 4,kingranchmetropolitandistricts.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67455,Metropolitan Districts,Adams
King Ranch Metropolitan District No. 5,kingranchmetropolitandistricts.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67456,Metropolitan Districts,Adams
Kings Point South Metropolitan District No. 1,kingspointsouthmetrodistrict1.com/,"2154 E. Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron P.C.,Centennial,CO,80122,65122,Metropolitan Districts,Douglas
Kings Point South Metropolitan District No. 2,kpsmetrodistricts.com/,"2154 E. Commons Avenue, Suite 2000",c/o White Bear Ankele Tanaka & Waldron P.C.,Centennial,CO,80122,65123,Metropolitan Districts,Douglas
Kings Point South Metropolitan District No. 3,kingspointsouthmd3.specialdistrict.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67736,Metropolitan Districts,Douglas
Kinston Metropolitan District No. 1,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67263,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 10,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67272,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 2,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67264,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 3,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67265,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 4,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67266,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 5,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67267,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 6,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67268,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 7,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67269,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 8,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67270,Metropolitan Districts,Larimer
Kinston Metropolitan District No. 9,kinstonmd.live/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67271,Metropolitan Districts,Larimer
Kiowa C-2 School District,www.kiowaschool.org,PO Box 128,,Kiowa,CO,80117,20902,School Districts,Elbert
Kiowa Conservation District,www.kiowacd.org,PO Box 368,,Elbert,CO,80106,64262,Conservation Districts (Soil),"El Paso, Arapahoe, Elbert"
Kiowa County,kiowacounty.colorado.gov,PO Box 100,,Eads,CO,81036-0100,31004,Counties,Kiowa
Kiowa County Conservation District,,PO Box 845,,Eads,CO,81036,31013,Conservation Districts (Soil),Kiowa
Kiowa County Fire Protection District,kiowacounty.colorado.gov/government/special-districts/kiowa-county-fire-,PO Box 792,,Eads,CO,81036,66782,Fire Protection Districts,Kiowa
Kiowa County Hospital District,,PO Box 817,,Eads,CO,81036,31005,Health Service Districts (Hospital),Kiowa
Kiowa County Public Library District,eads.colibraries.org,PO Box 790,1305 Goff Street,Eads,CO,81036,31017,Library Districts,Kiowa
Kiowa Creek Preserve Metropolitan District No. 1,www.kiowacreekpreservemd.live,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67918,Metropolitan Districts,Adams
Kiowa Creek Preserve Metropolitan District No. 2,www.kiowacreekpreservemd.live,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67919,Metropolitan Districts,Adams
Kiowa Creek Preserve Metropolitan District No. 3,www.kiowacreekpreservemd.live,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67920,Metropolitan Districts,Adams
Kiowa Fire Protection District,kiowafire.colorado.gov,PO Box 321,,Kiowa,CO,80117,20009,Fire Protection Districts,Elbert
Kiowa Water and Wastewater Authority,www.townofkiowa.com,PO Box 237,c/o Town of Kiowa,Kiowa,CO,80117,66562,Water Authorities,Elbert
"Kiowa, Town of",townofkiowa.colorado.gov/,PO Box 237,,Kiowa,CO,80117,20005,Home Rule Municipalities,Elbert
Kipling Ridge Metropolitan District,www.kiplingridgemd.org/,"2001 16th Street, Ste. 1700 ",c/o CliftonLarsonAllen LLP,Denver,CO,80202,65295,Metropolitan Districts,Jefferson
Kirk Cemetery District,,2938 County Road M,,Kirk,CO,80824,63006,Cemetery Districts,Yuma
Kit Carson Cemetery District,,PO Box 54,,Kit Carson,CO,80825,09011,Cemetery Districts,Cheyenne
Kit Carson County,kitcarsoncounty.colorado.gov,PO Box 160,,Burlington,CO,80807-0160,32011,Counties,Kit Carson
Kit Carson County Health Service District,www.kcchsd.org,286 16th Street,,Burlington,CO,80807-1651,32025,Health Service Districts (Hospital),Kit Carson
Kit Carson R-1 School District,www.kcsdr1.org,PO Box 185,,Kit Carson,CO,80825,09900,School Districts,Cheyenne
"Kit Carson, Town of",www.townofkitcarson.com,PO Box 375,301 Main Street,Kit Carson,CO,80825,09013,Statutory Towns,Cheyenne
Kiteley Ranch Metropolitan District,kiteleymetro.specialdistrict.org/,"4725 S. Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,65802,Metropolitan Districts,Weld
Kittredge Sanitation & Water District,kittredgeswd.org,PO Box 7,,Kittredge,CO,80457,30052,Water & Sanitation Districts,Jefferson
Kobe Water Authority,,"201 Centennial Street, Suite #200",,Glenwood Springs,CO,81601,66598,Water Authorities,"Mesa, Garfield"
Kremmling Fire Protection District,www.kremmlingfire.org,PO Box 6,,Kremmling,CO,80459,25030,Fire Protection Districts,Grand
Kremmling Memorial Hospital District,middleparkhealth.org,PO Box 399,,Kremmling,CO,80459,64081,Health Service Districts (Hospital),"Grand, Summit"
Kremmling Sanitation District,www.kremmlingsd.org/,P.O. Box 538,,Kremmling,CO,80459,25017,Sanitation Districts,Grand
"Kremmling, Town of",www.townofkremmling.colorado.gov,PO Box 538,,Kremmling,CO,80459,25018,Statutory Towns,Grand
Kroenke Sports and Entertainment Metropolitan District No. 1,ksemd1-5.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,68156,Metropolitan Districts,Denver
Kroenke Sports and Entertainment Metropolitan District No. 2,ksemd1-5.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,68157,Metropolitan Districts,Denver
Kroenke Sports and Entertainment Metropolitan District No. 3,ksemd1-5.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,68158,Metropolitan Districts,Denver
Kroenke Sports and Entertainment Metropolitan District No. 4,ksemd1-5.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,68159,Metropolitan Districts,Denver
Kroenke Sports and Entertainment Metropolitan District No. 5,ksemd1-5.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,68160,Metropolitan Districts,Denver
LFM Business Improvement District,www.lfmbid.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67355,Business Improvement Districts,Boulder
LLA Metropolitan District No. 1,llametrodistrict.org,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66584,Metropolitan Districts,Weld
LLA Metropolitan District No. 2,llamd2.com,1555 California Street No. 505,c/o Miller Law pllc,Denver,CO,80202,66585,Metropolitan Districts,Weld
La Jara Cemetery District,,PO Box 282,,La Jara,CO,81140-282,11008,Cemetery Districts,Conejos
"La Jara, Town of",www.colorado.gov/townoflajara,PO Box 273,,La Jara,CO,81140,11009,Statutory Towns,Conejos
La Junta Health Service District,ljhsd.org/,1 Darlene Drive,,La Junta,CO,81050,66887,Health Service Districts (Hospital),Otero
La Junta Housing Authority,,PO Box 376,315 East 5th Street,La Junta,CO,81050,45019,Housing Authorities (Municipal),Otero
La Junta Rural Fire Protection District,www.lajuntafire.com,PO Box 1066,,La Junta,CO,81050-1066,45006,Fire Protection Districts,Otero
La Junta Urban Renewal Authority,,PO Box 489,c/o City of La Junta,La Junta,CO,81050,45017,Urban Renewal Authorities,Otero
"La Junta, City of",lajuntacolorado.org,PO Box 489,,La Junta,CO,81050,45007,Home Rule Municipalities,Otero
La Plata Archuleta Water District,laplawd.org,255 Ute St,,Ignacio,CO,81137,65987,Water Districts,La Plata
La Plata Conservation District,www.laplatacd.org,31 Suttle Drive,,Durango,CO,81301-7911,34029,Conservation Districts (Soil),La Plata
La Plata County,www.lpcgov.org,1101 E 2nd Avenue,,Durango,CO,81301-5157,34017,Counties,La Plata
La Plata County Palo Verde Public Improvement District #3,,1060 East Second Avenue,c/o La Plata County,Durango,CO,81301,66451,Public Improvement Districts (County),La Plata
La Plata Water Conservancy District,,PO Box 71,,Marvel,CO,81329,34019,Water Conservancy Districts,La Plata
La Plata West Water Authority,www.lpwwa.org,PO Box 631,,Durango,CO,81302,65949,Water Authorities,La Plata
La Puerta Business Improvement District,,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67245,Business Improvement Districts,Las Animas
La Salle Fire Protection District,www.lasallefire.com,118 Main Street,,La Salle,CO,80645,62036,Fire Protection Districts,Weld
"La Salle, Town of",lasalletown.com,128 North 2nd Street,,La Salle,CO,80645,62037,Statutory Towns,Weld
La Veta Cemetery District,,PO Box 971,,La Veta,CO,81055,28005,Cemetery Districts,Huerfano
La Veta Fire Protection District,,P.O. Box 44,,La Veta,CO,81055,28006,Fire Protection Districts,Huerfano
La Veta Public Library District,lvpl.org,PO Box 28,,La Veta,CO,81055,28012,Library Districts,Huerfano
La Veta RE-2 School District,www.laveta.k12.co.us,PO Box 85,,La Veta,CO,81055,28901,School Districts,Huerfano
"La Veta, Town of",townoflaveta-co.gov/,PO Box 174,,La Veta,CO,81055,28007,Statutory Towns,Huerfano
Ladera Business Improvement District,laderabid.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67566,Business Improvement Districts,Larimer
Ladera Metropolitan District No. 1,www.laderabid.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67591,Metropolitan Districts,Larimer
Ladera Metropolitan District No. 2,laderabid.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67592,Metropolitan Districts,Larimer
Lafayette City Center General Improvement District,,1290 South Public Road,c/o City of Lafayette,Lafayette,CO,80026,07064,General Improvement Districts (Municipal),Boulder
Lafayette Corporate Campus General Improvement District,,1290 South Public Road,c/o City of Lafayette,Lafayette,CO,80026,65116,General Improvement Districts (Municipal),Boulder
Lafayette Downtown Development Authority,,1290 South Public Road,c/o City of Lafayette,Lafayette,CO,80026,68202,Downtown Development Authorities,Boulder
Lafayette Rural Fire Protection District,,12177 Baseline Rd.,,Lafayette,CO,80026,07049,Fire Protection Districts,Boulder
Lafayette Tech Center General Improvement District,,1290 South Public Road,c/o City Of Lafayette,Lafayette,CO,80026,07072,General Improvement Districts (Municipal),Boulder
Lafayette Urban Renewal Authority,,1290 South Public Road,c/o City Of Lafayette,Lafayette,CO,80026,07069,Urban Renewal Authorities,Boulder
"Lafayette, City of",www.cityoflafayette.com/,1290 South Public Road,,Lafayette,CO,80026,07020,Home Rule Municipalities,Boulder
Lafferty Canyon Metropolitan District,www.laffertycanyonmetro.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67922,Metropolitan Districts,Boulder
Lake Bluff Metropolitan District No. 1,lakebluffmetrodistricts1-3.colorado.gov/,"141 Union Blvd, Suite 150","c/o Special District Management Services, Inc",Lakewood,CO,80228,66980,Metropolitan Districts,Weld
Lake Bluff Metropolitan District No. 2,lakebluffmetrodistricts1-3.colorado.gov/,"141 Union Blvd, Suite 150","c/o Special District Management Services, Inc",Lakewood,CO,80228,66981,Metropolitan Districts,Weld
Lake Bluff Metropolitan District No. 3,lakebluffmetrodistricts1-3.colorado.gov/,"141 Union Blvd, Suite 150","c/o Special District Management Services, Inc",Lakewood,CO,80228,66982,Metropolitan Districts,Weld
Lake City Area Fire Protection District,,PO Box 574,,Lake City,CO,81235-0574,27006,Fire Protection Districts,Hinsdale
"Lake City, Town of",www.townoflakecity.co,PO Box 544,,Lake City,CO,81235,27005,Statutory Towns,Hinsdale
Lake County,www.lakecountyco.com/,PO Box 964,,Leadville,CO,80461-0964,33001,Counties,Lake
Lake County 911 Authority,,PO Box 964,c/o Finance Department,Leadville,CO,80461,33010,Emergency Telephone Service (911 Authorities),Lake
Lake County Conservation District,,PO Box 1272,,Leadville,CO,80461,33002,Conservation Districts (Soil),Lake
Lake County R-1 School District,www.lakecountyschools.net,107 Spruce Street,,Leadville,CO,80461,33900,School Districts,Lake
Lake Creek Metropolitan District,lakecreekmetro.org/,"28 Second Street, Ste 213",c/o Marchetti & Weaver LLC,Edwards,CO,81632,19021,Metropolitan Districts,Eagle
Lake Durango Water Authority,,PO Box 657,"48 County Road 250, Suite 5 c/o Floyd L. Smith",Durango,CO,81302,65962,Water Authorities,La Plata
Lake Eldora Water & Sanitation District,,PO Box 1697,,Nederland,CO,80466,07021,Water & Sanitation Districts,Boulder
Lake Fork Health Service District,,PO Box 999,,Lake City,CO,81235,65090,Health Service Districts (Hospital),Hinsdale
